1,海底捞火锅(海宁路店),0300030000140110102233030IN
2,上海国金中心商场,1400030012180518075525409UZ
3,海中舟海鲜广场(浦东花木店),1400030012180408032611153UZ
4,鳗重(愚园路店),1400030012180411191228783UZ
5,上岛咖啡(四平路店),1400030012180602135854425UZ
6,新天地时尚,1400030012180518001739461UZ
7,圆苑酒家(梅龙镇广场店),0800030001160721211712336UZ
8,东北农家小院(潍坊店),1400030012180518203716241UZ
9,上岛咖啡(平凉店),1400030012180411062205479UZ
10,上海香港广场,0800030000141205183034186IN
11,天泰餐厅(上海国金中心商场店),0800030001160127133241024UZ
12,江粤轩(浦东南路店),0800030001160803133624732UZ
13,绿雅酒家(江西中路店),1400030012180518060436607UZ
14,两岸咖啡(东方店),1400030012180409112829113UZ
15,荣新馆(1号店),1400030012180518013757069UZ
16,沃歌斯(胶州路店),1400030012180518212441341UZ
17,麦当劳(百联徐汇商业广场餐厅),1400030012180518012043659UZ
18,宁静名猫生活馆(大华二路店),1400030012180407050330558UZ
19,海底捞(沪太路店),0300030000140110102232080IN
20,CoCo都可茶饮(山东中路店),1400030012180411010018784UZ
21,苔圣园酒家(黄浦店),1400030012180518062535658UZ
22,德兴馆(广东路总店),1400030012180411132951094UZ
23,COSTA COFFEE(仙乐斯广场店),1400030012180603175133791UZ
24,海底捞火锅(逸仙路店),0300030000140109102233051IN
25,万寿斋(山阴路店),1400030012180412062709407UZ
26,海底捞火锅(华山路店),0300030000140110102233082IN
27,上海1号私藏菜(黄浦店),0800030001151211144321487UZ
28,海底捞火锅(长寿路店),0300030000140111102233040IN
29,杏花楼(福州路总店),1400030012180518091234068UZ
30,海底捞火锅(吴中路店),0300030000140110102233025IN
31,长阳公馆(长阳店),1400030012180518082145372UZ
32,杏花楼(黄河店),1400030012180603175515873UZ
33,复茂小龙虾大闸蟹烧烤(淮海店),0800030001160127141632027UZ
34,蚝不鱿鱼(大华路店),1400030012180407005031549UZ
35,星巴克臻选咖啡·酒坊(新天地店),1400030012180411001840475UZ
36,耀康食府(虬江路店),1400030012180412111954993UZ
37,南翔小笼上味馆(杏山路店),1400030012180405003040376UZ
38,海底捞(张杨路店),0300030000140109102233042IN
39,M2FCafe(新华店),1400030012180518111718372UZ
40,上岛咖啡(大华店),1400030012180601130130831UZ
41,上海1898cafe咖啡,1400030012180327121424503UZ
42,万千世界社区商城,1900190001160411140138285UZ
43,阿里元平价海鲜·闽菜餐厅(曾厝垵店),2000190012181113151703869UZ
44,欣怡景水族商城(湖里万达店),1900190012170831143116695UZ
45,骨之味·筒骨汤火锅(万达广场厦门湖里店),0800190001160121163240120UZ
46,宴遇·福建菜(SM新生活广场店),0800190000140826192335654IN
47,肯德基(闽南印象汽车穿梭餐厅),1900190001150921155937975UZ
48,清菜家·老厦门菜馆(南中广场店),0800190001160803133330859UZ
49,老塞行动咖啡馆(金榜店),0800190001160105103313503UZ
50,小鱼咖啡(乌石浦店),0800190001151211213558454UZ
51,香遇巴厘(新中林店),0800190001151123121413772UZ
52,阿忠食坊(10年老店),1900190012170828131603767UZ
53,猫的国cafe,1900190001160613092044063UZ
54,老聃家宴(枋湖店),0800190001160113173853372UZ
55,傅陈月华沙茶面店(中山路店),1900190012170831104154796UZ
56,首尔山庄(新兴路店),1900190012171001162058361UZ
57,郑成功纪念馆,0900190012170915154210000IN
58,鱼旨寿司(中华城店),0800190000140826191704981IN
59,汕头牛基地鲜牛肉火锅(枋湖店),0800190001170626123904604UZ
60,202特色排档(斗西店),1900190001160701170526363UZ
61,金家港海鲜排档(中山路店),1900190001160524173015188UZ
62,鸿山公园,0800190000141125141814112UZ
63,老聃民间风味酒楼(翔鹭店),0800190001160304213021532UZ
64,谷灶食香(海沧店),1900190012171030180559736UZ
65,琴园,0900190001160301141359150IN
